timestamp,open,high,low,close,volume
2021-04-05 00:00:00+05:30,857.5,857.5,836.2,844.0,1631140
2021-04-06 00:00:00+05:30,845.5,856.0,840.0,854.1,1283860
2021-04-07 00:00:00+05:30,855.0,893.3,851.2,870.5,3569300
2021-04-08 00:00:00+05:30,871.2,888.0,866.4,884.5,2360120
2021-04-09 00:00:00+05:30,880.6,892.4,875.0,879.6,1478880
2021-04-12 00:00:00+05:30,868.8,881.0,867.0,875.1,1150640
2021-04-13 00:00:00+05:30,879.4,880.0,852.0,858.4,2210540
2021-04-15 00:00:00+05:30,866.2,870.0,838.8,843.8,2366280
2021-04-16 00:00:00+05:30,848.4,866.8,843.2,862.6,1883800
2021-04-19 00:00:00+05:30,860.0,862.0,847.5,854.5,1018760
2021-04-20 00:00:00+05:30,871.0,871.0,844.5,854.8,2073740
2021-04-22 00:00:00+05:30,859.5,859.5,827.6,839.5,4088620
2021-04-23 00:00:00+05:30,839.2,840.0,830.2,831.3,1372000
2021-04-26 00:00:00+05:30,840.0,844.8,833.2,843.5,3047240
2021-04-27 00:00:00+05:30,845.0,846.5,837.5,839.0,893020
2021-04-28 00:00:00+05:30,838.8,841.6,830.6,831.7,1737520
2021-04-29 00:00:00+05:30,834.0,835.7,824.0,825.1,1604140
2021-04-30 00:00:00+05:30,825.0,828.4,812.8,815.4,1955660
2021-05-03 00:00:00+05:30,818.0,828.8,813.6,825.4,1280960
2021-05-04 00:00:00+05:30,825.5,831.0,819.0,827.3,2115920
2021-05-05 00:00:00+05:30,828.0,830.5,822.9,827.4,706440
2021-05-06 00:00:00+05:30,826.2,838.5,826.2,835.9,1406380
2021-05-07 00:00:00+05:30,839.4,839.9,833.2,838.1,753320
2021-05-10 00:00:00+05:30,841.5,842.5,833.5,839.4,953160
2021-05-11 00:00:00+05:30,837.4,847.4,835.5,843.5,1201260
2021-05-12 00:00:00+05:30,838.5,842.9,831.0,835.9,1211520
2021-05-14 00:00:00+05:30,835.8,863.0,830.2,861.2,1931640
2021-05-17 00:00:00+05:30,861.0,865.0,850.0,851.9,1214060
2021-05-18 00:00:00+05:30,856.0,862.4,852.1,859.0,1108780
2021-05-19 00:00:00+05:30,859.4,873.2,859.4,872.5,1768740
2021-05-20 00:00:00+05:30,873.0,875.0,861.1,864.3,985060
2021-05-21 00:00:00+05:30,869.3,877.5,864.0,874.8,1345200
2021-05-24 00:00:00+05:30,870.0,879.4,865.0,868.0,1144120
2021-05-25 00:00:00+05:30,874.8,888.0,871.1,875.8,1439040
2021-05-26 00:00:00+05:30,875.8,880.9,868.4,877.1,916060
2021-05-27 00:00:00+05:30,877.5,895.0,871.8,887.3,2393260
2021-05-28 00:00:00+05:30,888.5,890.7,875.0,875.5,1063240
2021-05-31 00:00:00+05:30,875.4,887.2,870.8,884.8,1140460
2021-06-01 00:00:00+05:30,880.0,890.5,874.0,887.9,1155020
2021-06-02 00:00:00+05:30,875.8,890.6,875.5,882.7,1485240
2021-06-03 00:00:00+05:30,882.5,892.8,878.0,890.0,1007980
2021-06-04 00:00:00+05:30,884.6,885.3,869.0,871.4,4036440
2021-06-07 00:00:00+05:30,873.7,879.5,867.7,876.6,988720
2021-06-08 00:00:00+05:30,876.5,880.6,870.2,874.1,948940
2021-06-09 00:00:00+05:30,873.0,881.3,872.0,877.8,837560
2021-06-10 00:00:00+05:30,876.2,883.8,874.5,877.8,841060
2021-06-11 00:00:00+05:30,880.4,880.4,868.2,876.8,979940
2021-06-14 00:00:00+05:30,873.1,881.5,870.9,878.9,730460
2021-06-15 00:00:00+05:30,882.3,885.5,875.6,884.2,943920
2021-06-16 00:00:00+05:30,882.5,903.4,880.6,898.2,2339240
2021-06-17 00:00:00+05:30,895.8,909.5,895.0,903.0,1515740
2021-06-18 00:00:00+05:30,903.0,905.0,880.0,883.5,2953400
2021-06-21 00:00:00+05:30,881.6,885.5,875.6,882.4,803600
2021-06-22 00:00:00+05:30,883.5,887.4,870.5,871.8,1410640
2021-06-23 00:00:00+05:30,875.0,878.0,868.5,870.8,741680
2021-06-24 00:00:00+05:30,870.8,883.5,866.1,881.0,1300900
2021-06-25 00:00:00+05:30,878.5,882.5,871.8,875.3,780000
2021-06-28 00:00:00+05:30,875.4,881.0,872.7,875.3,809000
2021-06-29 00:00:00+05:30,879.5,887.5,874.5,880.0,1421920
2021-06-30 00:00:00+05:30,882.0,887.2,878.8,881.6,1031340
2021-07-01 00:00:00+05:30,881.5,886.2,878.5,882.3,534000
2021-07-02 00:00:00+05:30,884.0,884.0,874.3,880.1,614460
