timestamp,open,high,low,close,volume
2021-04-05 00:00:00+05:30,1092.6,1114.9,1065.3,1103.5,16292890
2021-04-06 00:00:00+05:30,1118.2,1203.1,1107.6,1188.0,22173058
2021-04-07 00:00:00+05:30,1195.8,1213.4,1074.2,1130.0,23731861
2021-04-08 00:00:00+05:30,1127.0,1154.7,1103.0,1127.0,12795213
2021-04-09 00:00:00+05:30,1127.9,1190.5,1116.1,1164.7,13329772
2021-04-12 00:00:00+05:30,1141.5,1141.5,1029.0,1041.6,14120909
2021-04-13 00:00:00+05:30,1044.1,1082.2,1019.0,1072.6,12519351
2021-04-15 00:00:00+05:30,1061.6,1110.0,1048.4,1095.5,9645208
2021-04-16 00:00:00+05:30,1095.5,1155.6,1078.1,1123.6,10996625
2021-04-19 00:00:00+05:30,1066.4,1117.8,1055.8,1101.7,8834648
2021-04-20 00:00:00+05:30,1121.5,1141.8,1090.7,1107.9,8521192
2021-04-22 00:00:00+05:30,1099.4,1133.3,1088.7,1122.5,7349039
2021-04-23 00:00:00+05:30,1125.6,1146.8,1110.7,1122.3,6361262
2021-04-26 00:00:00+05:30,1124.6,1161.3,1124.6,1137.5,7158254
2021-04-27 00:00:00+05:30,1148.5,1176.5,1145.0,1154.8,7333190
2021-04-28 00:00:00+05:30,1171.1,1176.9,1144.7,1149.0,5178160
2021-04-29 00:00:00+05:30,1160.0,1175.6,1142.1,1146.2,4198823
2021-04-30 00:00:00+05:30,1135.3,1164.3,1108.1,1123.3,4365718
2021-05-03 00:00:00+05:30,1110.2,1225.8,1088.4,1217.2,11631147
2021-05-04 00:00:00+05:30,1245.8,1259.3,1204.0,1224.0,10594812
2021-05-05 00:00:00+05:30,1235.5,1248.9,1202.4,1228.8,8051493
2021-05-06 00:00:00+05:30,1233.5,1271.8,1224.5,1247.5,6436956
2021-05-07 00:00:00+05:30,1265.2,1282.0,1251.1,1259.3,4728822
2021-05-10 00:00:00+05:30,1255.4,1273.9,1247.0,1264.3,4014849
2021-05-11 00:00:00+05:30,1252.6,1285.5,1244.8,1263.7,4894075
2021-05-12 00:00:00+05:30,1271.0,1288.0,1239.6,1246.6,4274155
2021-05-14 00:00:00+05:30,1260.3,1262.3,1176.3,1183.1,6578379
2021-05-17 00:00:00+05:30,1192.5,1259.4,1190.0,1249.8,8027693
2021-05-18 00:00:00+05:30,1274.8,1303.9,1262.3,1286.2,6737177
2021-05-19 00:00:00+05:30,1308.8,1310.3,1244.7,1255.2,10237682
2021-05-20 00:00:00+05:30,1261.6,1279.7,1244.8,1262.3,6021490
2021-05-21 00:00:00+05:30,1279.7,1295.2,1260.4,1275.0,8575905
2021-05-24 00:00:00+05:30,1281.4,1288.1,1263.2,1266.9,8162486
2021-05-25 00:00:00+05:30,1274.2,1281.7,1234.1,1243.6,3813427
2021-05-26 00:00:00+05:30,1249.6,1286.4,1216.0,1282.4,5807957
2021-05-27 00:00:00+05:30,1288.9,1301.0,1264.5,1285.3,37845782
2021-05-28 00:00:00+05:30,1271.6,1289.9,1258.4,1262.9,3073367
