timestamp,open,high,low,close,volume
2021-04-05 00:00:00+05:30,293.0,295.65,278.1,284.05,10865445
2021-04-06 00:00:00+05:30,286.4,291.8,283.0,287.85,9011680
2021-04-07 00:00:00+05:30,288.0,300.5,282.65,297.1,14184300
2021-04-08 00:00:00+05:30,298.0,302.0,294.65,298.85,11186950
2021-04-09 00:00:00+05:30,297.8,299.35,291.0,293.9,10218235
2021-04-12 00:00:00+05:30,282.0,283.2,258.6,260.2,24289800
2021-04-13 00:00:00+05:30,263.0,279.7,262.2,276.45,21252365
2021-04-15 00:00:00+05:30,275.0,277.65,262.2,276.15,17951785
2021-04-16 00:00:00+05:30,275.05,279.0,273.1,275.6,12006190
2021-04-19 00:00:00+05:30,260.4,270.65,257.45,268.55,14272335
2021-04-20 00:00:00+05:30,275.8,277.2,264.5,269.0,12498725
2021-04-22 00:00:00+05:30,263.6,266.4,258.25,265.25,19593930
2021-04-23 00:00:00+05:30,263.0,277.55,262.3,276.15,17606370
2021-04-26 00:00:00+05:30,275.8,275.9,265.3,267.8,13382655
2021-04-27 00:00:00+05:30,270.9,271.55,263.8,265.0,8343800
2021-04-28 00:00:00+05:30,265.6,282.95,265.0,280.95,17059815
2021-04-29 00:00:00+05:30,284.2,286.9,278.0,283.25,14470055
2021-04-30 00:00:00+05:30,286.0,289.0,267.15,269.0,20775365
2021-05-03 00:00:00+05:30,266.8,266.9,255.15,259.75,14320405
2021-05-04 00:00:00+05:30,265.0,269.85,257.1,258.25,13762810
2021-05-05 00:00:00+05:30,262.0,262.0,254.4,257.4,12337230
2021-05-06 00:00:00+05:30,259.2,263.4,254.6,262.3,11816670
2021-05-07 00:00:00+05:30,263.0,264.6,258.5,259.55,6920815
2021-05-10 00:00:00+05:30,259.8,268.2,259.25,266.55,9092755
2021-05-11 00:00:00+05:30,264.8,269.7,262.5,268.5,7293410
2021-05-12 00:00:00+05:30,269.0,271.2,265.75,268.8,7632385
2021-05-14 00:00:00+05:30,269.2,274.4,264.8,265.3,9702620
2021-05-17 00:00:00+05:30,265.9,279.6,264.05,277.8,9550025
2021-05-18 00:00:00+05:30,281.0,293.0,281.0,290.05,15594255
2021-05-19 00:00:00+05:30,287.6,291.95,281.0,282.25,6901040
2021-05-20 00:00:00+05:30,283.0,285.7,279.2,283.2,6123645
2021-05-21 00:00:00+05:30,286.6,297.6,284.0,295.75,11258915
